职位名称,工作地点,工资,工作经验,学历要求,公司名称,公司类型,公司规模,技术需求,标签
游戏客户端程序员,厦门·思明区·禾祥西路,12-15K,3-5年,大专,厦门鑫点击,企业服务已上市,100-499人,cocos2dx 客户端,移动开发_COCOS2DX
游戏客户端工程师,厦门,10-15K,3-5年,大专,悦游网络,社交网络不需要融资,100-499人,游戏引擎 游戏 cocos2DX cocos2dx cocos,移动开发_COCOS2DX
cocos creator 高级工程师,厦门·思明区·软件园,16-27k,5-10年,本科,紫桐互动,游戏,20-99人,游戏引擎 游戏开发 前端开发 cocos2dx,移动开发_COCOS2DX
cocos2dx开发工程师,厦门·思明区·软件园,16-27k,经验不限,本科,青瓷游戏,游戏不需要融资,100-499人,游戏引擎 Lua,移动开发_COCOS2DX
cocos2dx客户端,厦门·思明区·前埔,6-10k,1-3年,大专,游动网络,游戏已上市,100-499人,Cocos2d-x 游戏开发 Lua,移动开发_COCOS2DX
Creator3D 开发工程师,厦门·集美区·灌口,10-15K,1-3年,大专,厦门珊瑚互动网络...,游戏未融资,20-99人,游戏引擎 网络协议 移动端 Web端 CocosCreator,移动开发_COCOS2DX
COCOS2DX,厦门·思明区·火车站,10-16K,经验不限,学历不限,天行泰,移动互联网,0-20人,Android iOS 全栈,移动开发_COCOS2DX
Cocos2dx游戏开发工程师,厦门·思明区·软件园,7-12K,1-3年,学历不限,惠通世纪,互联网,0-20人,C/C++ Cocos2d-X,移动开发_COCOS2DX
游戏客户端程序员,厦门·思明区·莲前,11-22K,经验不限,学历不限,蝶之谷动漫,游戏未融资,0-20人,lua c++ cocos2dx,移动开发_COCOS2DX
客户端开发工程师（Corona）,厦门,11-17k,1-3年,本科,点触科技,游戏已上市,1000-9999人,corona 游戏引擎 Lua CocosCreator C++,移动开发_COCOS2DX
高级COCOS客户端,厦门·思明区·软件园,13-26k,3-5年,本科,优智汇,互联网不需要融资,20-99人,Cocos2dx开发,移动开发_COCOS2DX
游戏客户端,厦门·思明区·观音山,4-7K,1-3年,学历不限,厦门旺德富科技公司,互联网天使轮,20-99人,游戏,移动开发_COCOS2DX
cocos客户端开发,厦门·湖里区·江头,7-12K,1-3年,大专,晋耀网路,移动互联网,0-20人,游戏引擎 TypeScript Android 移动端,移动开发_COCOS2DX
cocos2d-js游戏开发,厦门·思明区·厦港,6-9K,1-3年,学历不限,魔兔游戏,游戏天使轮,100-499人,Cocos2dx开发 游戏引擎 JavaScript HTML 游戏,移动开发_COCOS2DX
客户端主程,厦门·思明区·软件园,10-15K,1-3年,本科,伏羲,游戏,0-20人,前端开发,移动开发_COCOS2DX
中高级egret 游戏开发,厦门·思明区·观音山,13-20K,3-5年,大专,火屿网络,游戏不需要融资,20-99人,小程序 游戏引擎,移动开发_COCOS2DX
游戏前端开发工程师,厦门·思明区·软件园,10-16k,1-3年,学历不限,锋合至创,游戏未融资,20-99人,Cocos2d-x 游戏引擎 游戏开发 前端开发,移动开发_COCOS2DX
