职位名称,工作地点,工资,工作经验,学历要求,公司名称,公司类型,公司规模,技术需求,标签
.net软件工程师,厦门·海沧区·新阳工业区,16-27k,3-5年,本科,amoytop,医疗健康已上市,1000-9999人,C# 软件工程师 .net 计算机软件 医疗,后端开发_.NET
自动化工程师(.NET开发、C#),厦门·同安区·洪塘,4-9K,经验不限,大专,三安光电股份有限公司,电子/半导体/集成电路,1000-9999人,C# VB .net,后端开发_.NET
.net开发工程师,厦门,10-15K,1-3年,本科,云企动力,计算机软件天使轮,0-20人,C# SQL 网络协议 Oracle MySQL .net,后端开发_.NET
高级.NET开发工程师,厦门·湖里区·东渡,10-16k,3-5年,本科,乐域,互联网未融资,20-99人,软件开发 .net,后端开发_.NET
.net工程师,厦门·海沧区·东孚,10-16k,1-3年,本科,盈趣科技,智能硬件已上市,1000-9999人,C# HTML ASP.NET MVC开发 MySQL,后端开发_.NET
.NET工程师,厦门·思明区·软件园,8-14k,经验不限,本科,智业软件,医疗健康不需要融资,1000-9999人,.NET C#,后端开发_.NET
高级.net工程师,厦门·海沧区·新阳工业区,10-16k,5-10年,本科,厦门阳光恩耐照明...,电子/半导体/集成电路已上市,1000-9999人,C# Java WPF MVC开发 网络协议 多线程,后端开发_.NET
.net开发工程师,厦门·湖里区·金山,10-15K,3-5年,本科,弘爱医院,医疗/护理/卫生不需要融资,1000-9999人,.NET SQL C# JavaScript,后端开发_.NET
.NET研发工程师,厦门,9-14K,1-3年,本科,厦门科拓股份,智能硬件D轮及以上,1000-9999人,C# HTML ASP.NET 网络协议 SQL Server,后端开发_.NET
.NET 高级开发工程师,厦门·思明区·观音山,18-31k,5-10年,本科,安踏,贸易/进出口已上市,0-20人,微服务架构 Oracle MySQL C# .NET Core,后端开发_.NET
.net 高级软件工程师,厦门·集美区·杏林,12-18K,3-5年,本科,德捷,计算机软件不需要融资,20-99人,.NET HTML5 C#,后端开发_.NET
.NET 实习生,厦门·思明区·江头,4-5K,经验不限,大专,易视线,互联网不需要融资,100-499人,SQL C# c++,后端开发_.NET
高级.NET工程师（云后台）,厦门·思明区·会展中心,15-25K,3-5年,本科,准动网络科技,互联网B轮,500-999人,C# SQL ASP.NET MVC开发 多线程,后端开发_.NET
"软件开发员: .net 开发,C#开发",厦门·湖里区·五缘湾,10-15K,3-5年,大专,巨奥科技,互联网不需要融资,20-99人,C# .NET Core 微服务架构 SQL Server Redis,后端开发_.NET
.net工程师,厦门·思明区·松柏,11-16K,3-5年,大专,厦门掌酷科技,移动互联网不需要融资,100-499人,.NET,后端开发_.NET
.net开发工程师,厦门,12-13K,1-3年,大专,骨之味,餐饮不需要融资,20-99人,HTML ASP.NET WCF MVC开发 MySQL,后端开发_.NET
.NET开发工程师,厦门·同安区·洪塘,11-18K,3-5年,大专,奥利普自动化,计算机软件不需要融资,100-499人,.NET JavaScript CSS HTML Java MySQL,后端开发_.NET
.net工程师,厦门·思明区·江头,7-10K,3-5年,大专,企盟科技,移动互联网不需要融资,100-499人,C/C++ HTML/CSS HTML5,后端开发_.NET
.net工程师,厦门·海沧区·未来海岸,4-8k,1-3年,大专,鹭达科技,其他服务业不需要融资,0-20人,.NET C#,后端开发_.NET
.NET,厦门·思明区·市政府,7-13k,经验不限,本科,同荣科技,计算机软件不需要融资,0-20人,C#,后端开发_.NET
.net程序员,厦门·集美区·同集南路,6-7K,经验不限,大专,Ports,其他行业不需要融资,1000-9999人,.NET,后端开发_.NET
.net开发工程师,厦门,8-12K,1-3年,大专,美科集团,机械设备/机电/重工未融资,500-999人,计算机软件 SQL SERVER REDIS,后端开发_.NET
.net开发工程师,厦门·思明区,6-10K,1-3年,大专,易联众医卫,医疗健康不需要融资,100-499人,C# C/C++,后端开发_.NET
.NET开发工程师,厦门·思明区·软件园,7-11K,1-3年,本科,吉联,计算机软件已上市,500-999人,.NET C#,后端开发_.NET
.NET工程师,厦门·集美区·杏林,6-10K,1-3年,大专,翼讯科技,互联网不需要融资,20-99人,C# HTML ASP.NET EF 网络协议 SQL,后端开发_.NET
.net开发工程师,厦门·湖里区·东渡,6-10K,1-3年,大专,领航讯通,计算机软件不需要融资,20-99人,HTML5 .NET 全栈,后端开发_.NET
厦门后台工程师.NET,厦门·集美区·杏林,10-15K,3-5年,大专,友为软件,企业服务不需要融资,100-499人,C# Javascript MVC开发 DBA .NET,后端开发_.NET
.NET软件工程师,厦门·湖里区·湖里大道,10-15K,3-5年,本科,电子口岸,计算机软件不需要融资,100-499人,.NET C/C++ Javascript,后端开发_.NET
.net软件工程师,厦门,10-15K,1-3年,大专,外贸牛,互联网不需要融资,20-99人,C#,后端开发_.NET
ASP.net开发工程师,厦门,7-13k,1-3年,大专,TIIC,互联网不需要融资,20-99人,C# ASP.NET,后端开发_.NET
.net工程师（中级）,厦门·集美区·杏林,10-15K,3-5年,大专,太昊科技,互联网不需要融资,20-99人,SQL NoSQL 架构师 C# MVC开发,后端开发_.NET
.net/C#软件工程师,厦门·同安区·洪塘,9-15k,3-5年,本科,厦门海辰新能源科技,原材料及加工/模具A轮,1000-9999人,C# ASP.NET EF .NET MVC SQL Server,后端开发_.NET
Asp.net 研发工程师,厦门·集美区·侨英,10-12K,1-3年,本科,PRIMA,电子/半导体/集成电路不需要融资,100-499人,.NET 后端开发 C# SQL JavaScript HTML,后端开发_.NET
.net开发工程师,厦门·湖里区·湖里大道,6-11K,1-3年,大专,海为科技,仪器仪表/工业自动化不需要融资,100-499人,Windows C# SQL Server,后端开发_.NET
高级.net工程师,厦门·湖里区·江头,8-13K,5-10年,大专,康博施,计算机软件不需要融资,0-20人,.NET 后端开发,后端开发_.NET
.NET,厦门·集美区·杏林,11-12k,3-5年,本科,阿奇索网络,计算机服务不需要融资,0-20人,后端开发 架构师 全栈开发 MongoDB MySQL,后端开发_.NET
.NET软件工程师,厦门,9-14K,经验不限,学历不限,台和电子,电子/半导体/集成电路,1000-9999人,.NET C/C++ HTML/CSS,后端开发_.NET
.net（应用层方向）,厦门,9-15k,经验不限,大专,厦门顶尖电子有限公司,电子/半导体/集成电路,500-999人,C# ASP.NET SQL Server MySQL Winform,后端开发_.NET
.NET/C#软件开发,厦门,6-9K,1-3年,大专,放牛斑,餐饮已上市,100-499人,C# HTML 网络协议,后端开发_.NET
.net开发工程师,厦门·集美区·杏林,8-11k,3-5年,大专,hyrus,计算机软件不需要融资,100-499人,.NET,后端开发_.NET
.Net 高级开发工程师,厦门,12-20K,经验不限,大专,亚尔迪,计算机软件未融资,20-99人,Asp.net MVC HTML/CSS Azure,后端开发_.NET
.net 程序员,厦门·思明区·软件园,7-13k,1-3年,学历不限,讯络,计算机软件,0-20人,C# Winform ASP.NET,后端开发_.NET
.NET 研发工程师,厦门·思明区·软件园,5-10K,经验不限,本科,正航软件,计算机软件未融资,100-499人,C# ERP .NET,后端开发_.NET
.net高级开发工程师,厦门·思明区·观音山,16-27k,5-10年,大专,职行力,互联网B轮,100-499人,Redis MySQL C# MVC开发 消息队列,后端开发_.NET
高级.net开发工程师,厦门·湖里区·禾山,15-23k,5-10年,本科,奥普拓,互联网A轮,20-99人,网络协议 分布式技术 消息队列 SQL Server Redis,后端开发_.NET
.net 软件工程师,厦门·思明区·软件园,5-10K,经验不限,大专,壹亿互动,互联网天使轮,20-99人,.NET MVC开发 ASP.NET C# SQL Server EF,后端开发_.NET
.net 软件开发工程师,厦门·翔安区·马巷,9-15k,1-3年,大专,厦门长江电子,电子/半导体/集成电路未融资,100-499人,C# SQL 网络协议 Oracle MySQL,后端开发_.NET
.NET,厦门·思明区·软件园,10-16k,3-5年,大专,福建易本,游戏不需要融资,0-20人,.NET C# JavaScript ASP MVC开发,后端开发_.NET
.net高级软件开发工程师,厦门·同安区·新民,20-35K,3-5年,硕士,海普锐,机械设备/机电/重工未融资,100-499人,.NET Core Socket技术 MySQL SQL Server,后端开发_.NET
asp.net工程师,厦门·海沧区·东孚,9-15k,5-10年,本科,盈趣科技,智能硬件已上市,1000-9999人,.NET,后端开发_.NET
.net开发工程师,厦门·思明区·观音山,10-16k,经验不限,本科,厦门科拓股份,智能硬件D轮及以上,1000-9999人,C# ASP.NET Winform MVC开发 MySQL,后端开发_.NET
.Net(C#)高级开发工程师(开发主管),厦门·思明区·软件园,16-27k,5-10年,大专,彩虹梦投资,企业服务A轮,100-499人,EF MVC开发 多线程 分布式技术 消息队列,后端开发_.NET
.Net软件工程师,厦门·思明区·松柏,12-24K,1-3年,本科,规划数字技术研究中心,其他行业,100-499人,C# SQL 微服务架构 容器技术 Redis NoSQL,后端开发_.NET
Asp.net中级工程师,厦门·思明区·莲前,12-20K,3-5年,学历不限,万象敬创,互联网不需要融资,20-99人,.net core .NET,后端开发_.NET
.NET高级工程师,厦门·思明区·软件园,13-19k,5-10年,本科,医数通医疗科技,医疗设备/器械未融资,20-99人,SQL ASP.NET MVC开发 Oracle MySQL,后端开发_.NET
.Net开发工程师,厦门·集美区·后溪,7-10K,1-3年,本科,大象健康,计算机软件不需要融资,20-99人,C# JavaScript CSS,后端开发_.NET
.NET高级开发工程师,厦门·同安区·洪塘,15-20K,3-5年,本科,厦门方特软件公司,移动互联网未融资,10000人以上,C# .NET 后端开发,后端开发_.NET
.NETCore高级开发工程师,厦门·湖里区·高崎,11-15K,3-5年,本科,时空视界,计算机软件天使轮,20-99人,.NET Core,后端开发_.NET
.NET,厦门·思明区·观音山,4-8K,1-3年,本科,慧网天下,数据服务不需要融资,100-499人,.NET,后端开发_.NET
.NET,厦门·思明区·软件园,10-16k,经验不限,学历不限,动心科技,移动互联网未融资,20-99人,.NET 后端开发 webservice,后端开发_.NET
.NET高级后台开发工程师,厦门·同安区·洪塘,16-21k,3-5年,本科,华强方特,互联网未融资,10000人以上,后端开发 数据库 C#,后端开发_.NET
.net主程开发,厦门·思明区·软件园,9-11K,5-10年,大专,金软网络,计算机软件未融资,0-20人,.NET SQL CSS HTML ASP.NET 移动端,后端开发_.NET
.NET,厦门,4-8K,1-3年,大专,寰球佰业,企业服务不需要融资,100-499人,C# ASP.NET .NET MVC .NET Core ADO.NET,后端开发_.NET
.net开发工程师,厦门·湖里区·万达广场,13-21k,3-5年,本科,好实用,移动互联网未融资,20-99人,微服务架构 C# ASP.NET .NET Core 分布式技术,后端开发_.NET
.net开发工程师,厦门·翔安区·马巷,8-12K,1-3年,大专,歆柯睿,计算机软件未融资,20-99人,C# HTML ASP.NET MVC开发 Oracle,后端开发_.NET
.net程序员,厦门·集美区·杏林,7-12K,1-3年,学历不限,凌创科技,计算机软件未融资,20-99人,ASP.NET EF MVC开发 Oracle MySQL,后端开发_.NET
.net开发工程师,厦门·湖里区·万达广场,5-10K,经验不限,大专,安盟网络,计算机软件未融资,100-499人,.NET C# 数据库,后端开发_.NET
.NET开发工程师,厦门·海沧区·新阳工业区,9-10k,经验不限,大专,科易网,企业服务不需要融资,100-499人,.NET 后端开发 MVC开发 asp.net core,后端开发_.NET
.NET,厦门·思明区·观音山,5-10K,经验不限,大专,艾迪索富特科技,计算机软件未融资,0-20人,ASP.NET .NET Core .NET MVC C#,后端开发_.NET
.NET开发工程师,厦门·思明区·软件园,5-10K,1-3年,大专,心诚共创共创家装平台,装修装饰A轮,100-499人,C# ASP.NET .NET MVC,后端开发_.NET
.net软件工程师,厦门·湖里区·五缘湾,10-15K,3-5年,本科,天海欧康科技,物流/仓储B轮,100-499人,.NET,后端开发_.NET
.Net开发工程师,厦门·思明区·莲花,10-15K,3-5年,大专,力控科技(广州),计算机软件未融资,100-499人,C# ASP.NET 微服务架构 容器技术 SQL Server,后端开发_.NET
.net开发工程师,厦门·思明区·软件园,6-11k,经验不限,大专,服信通软件,计算机软件未融资,0-20人,C# SQL HTML Winform ERP SaaS css,后端开发_.NET
.NET开发工程师,厦门·思明区·软件园,10-16k,3-5年,大专,南讯股份,移动互联网A轮,100-499人,C# HTML ASP.NET,后端开发_.NET
.net开发工程师,厦门·集美区·杏林,5-10K,1-3年,本科,天海图汇,计算机软件未融资,100-499人,C# SQL EF WPF MVC开发 SQL Server,后端开发_.NET
.net研发工程师,厦门·思明区,4-8K,1-3年,学历不限,小泥鳅网络,计算机软件不需要融资,0-20人,.NET Javascript C#,后端开发_.NET
.NET开发工程师,厦门·湖里区·五缘湾,6-12K,1-3年,本科,谦鹭信息技术,计算机软件不需要融资,20-99人,Javascript HTML/CSS .NET,后端开发_.NET
.net中级开发工程师,厦门·集美区·杏林,8-13K,1-3年,大专,厦门龙人亦进信息科技,计算机软件,20-99人,.NET C# Node.js,后端开发_.NET
.NET开发（应届）,厦门·思明区·嘉莲,3-4K,1-3年,大专,厦门讯潮创新网络...,计算机软件,0-20人,应届,后端开发_.NET
.NET,厦门·思明区·软件园,8-13K,1-3年,本科,厦门集恩图造信息...,计算机软件未融资,20-99人,C# SQL ASP.NET EF MVC开发 MySQL,后端开发_.NET
asp.net工程师,厦门·思明区·火车站,8-9K,1-3年,本科,四慧软件,计算机软件,0-20人,C# HTML ASP.NET Oracle MySQL 架构师,后端开发_.NET
.NET开发工程师/后端开发C#,厦门·翔安区·马巷,10-16k,3-5年,本科,冠捷科技,仪器仪表/工业自动化不需要融资,1000-9999人,.NET C#,后端开发_.NET
.NET程序员,厦门·思明区·火车站,8-13K,3-5年,大专,女王秘密,食品/饮料/烟酒,0-20人,C# ASP.NET .NET Core .NET MVC ADO.NET,后端开发_.NET
.net软件开发工程师,厦门·湖里区·五缘湾,7-10K,1-3年,大专,羽星科技,互联网已上市,20-99人,.NET C# C++ Socket技术 计算机软件,后端开发_.NET
.NET开发工程师-厦门研发中心,厦门·湖里区·高崎,10-14k,3-5年,本科,福建迅腾电力集团,电力/热力/燃气/水利未融资,20-99人,C# HTML Java MVC开发 多线程 消息队列,后端开发_.NET
.net软件开发工程师,厦门·集美区·杏林,4-6K,经验不限,本科,厦门益索数字技术...,计算机软件未融资,0-20人,C# SQL SQL Server Windows,后端开发_.NET
后端开发工程师（.net）,厦门·湖里区·翔鹭,8-13K,经验不限,学历不限,唯沃客,地产经纪/中介,20-99人,C# SQL ASP.NET WCF 网络协议 Oracle,后端开发_.NET
.net软件工程师\上位机,厦门·集美区·杏林,8-13K,3-5年,大专,科盛包装机械,机械设备/机电/重工未融资,100-499人,.NET SQL C++ C#,后端开发_.NET
.NET软件开发工程师,厦门·思明区·软件园,8-15k,经验不限,学历不限,福建振邦,计算机软件未融资,100-499人,数据结构 SQL SQL Server MySQL ASP.NET,后端开发_.NET
.net开发工程师,厦门·集美区·后溪,8-12K,1-3年,大专,木搜科技,计算机软件未融资,0-20人,.NET C# MVC开发 WEB端 GIT SQL,后端开发_.NET
ASP.Net Core高级工程师,厦门,21-27k,5-10年,本科,行圆信息,互联网未融资,0-20人,C# SQL Redis ASP.NET .NET Core,后端开发_.NET
.net开发工程师,厦门·湖里区·高崎,8-13K,1-3年,本科,壹佳一,电子/半导体/集成电路,100-499人,C# ASP.NET Winform MVC开发,后端开发_.NET
8-12K .NET高级软件工程师,厦门·思明区·莲花,8-12K,3-5年,本科,崛鼎科技,计算机软件未融资,20-99人,C# EF SQL Server Redis Linux,后端开发_.NET
.NET软件开发工程师C#工程师,厦门·集美区·杏林,6-11k,1-3年,学历不限,宇兽科技,计算机服务未融资,20-99人,多线程 分布式技术 Socket技术 消息队列,后端开发_.NET
.net开发工程师,厦门·湖里区·枋湖,5-10k,1-3年,大专,厦门市星纳软件,计算机软件未融资,20-99人,SQL ASP.NET 网络协议 .NET Core SQL Server,后端开发_.NET
.net开发工程师/上位机工程师,厦门·集美区·杏林,5-9K,1-3年,本科,唯质,汽车零部件,20-99人,C# VB,后端开发_.NET
.NET,厦门,8-13K,1-3年,大专,厦门编奕科技有限公司,计算机软件,0-20人,ASP.NET .NET Core ADO.NET,后端开发_.NET
C#/.NET 中级工程师,厦门·思明区·软件园,6-11K,经验不限,大专,拜特信息,计算机软件,20-99人,.NET 后端开发 C# SQL WEB开发 MVC开发,后端开发_.NET
.NET,厦门·集美区·杏林,8-14k,3-5年,学历不限,小蓝书,计算机软件未融资,0-20人,.NET C#,后端开发_.NET
.net程序员,厦门,6-9K,经验不限,学历不限,厦门翼百信,互联网未融资,20-99人,.NET,后端开发_.NET
.net开发工程师,厦门,6-9K,3-5年,大专,高数,数据服务未融资,20-99人,C# VB ASP.NET Winform .NET MVC,后端开发_.NET
.NET,厦门·湖里区·江头,12-18K,3-5年,大专,精敏惠,计算机软件,0-20人,.NET C# 后端开发,后端开发_.NET
.NET 开发工程师（WPF/VUE）,厦门·思明区·七星西路,11-17k,3-5年,本科,广东美云智数,互联网不需要融资,1000-9999人,WPF VUE MYSQL,后端开发_.NET
.NET,厦门·思明区·观音山,9-14K,1-3年,大专,车掌柜,移动互联网天使轮,0-20人,.NET 后端开发 C# MVC开发 MySQL,后端开发_.NET
初级.net工程师,厦门·思明区·观音山,4-8K,1-3年,本科,厦门大谷,计算机服务未融资,100-499人,SQL Oracle .NET Core ASP.NET .NET MVC,后端开发_.NET
.net软件开发工程师,厦门·翔安区·火炬园,12-16K,3-5年,本科,厦门实锐科技股份...,仪器仪表/工业自动化未融资,100-499人,.NET C# VB 网络协议,后端开发_.NET
.NET,厦门·集美区·杏林,11-15k,3-5年,本科,厦门农信渔联,移动互联网未融资,20-99人,.NET C# .NET Core,后端开发_.NET
.NET,厦门·湖里区·金尚,8-12K,3-5年,本科,寸尺品牌策划,企业服务未融资,0-20人,.NET C# ASP,后端开发_.NET
.NET,厦门·湖里区·五缘湾,8-13K,3-5年,大专,金鼎贷,互联网金融,20-99人,Javascript 数据库 .NET,后端开发_.NET
.NET高级开发工程师,厦门·思明区·梧村,11-20K,3-5年,大专,益客联,互联网不需要融资,20-99人,后端开发 数据库 .NET,后端开发_.NET
.NET开发工程师,厦门·思明区·软件园,8-16K,1-3年,大专,衍一科技,移动互联网天使轮,20-99人,.NET C# 需求分析,后端开发_.NET
.NET,厦门·思明区·火车站,8-9K,1-3年,学历不限,海洋皇后,电子商务,0-20人,.NET HTML5 Web前端,后端开发_.NET
.NET,厦门·思明区·厦门大学,5-9K,1-3年,大专,无所不至,计算机软件未融资,0-20人,JS HTML/CSS .NET,后端开发_.NET
.NET,厦门·集美区·杏林,10-11K,3-5年,大专,智尚云,计算机软件,0-20人,SQL Server MySQL C# .NET Core .NET MVC,后端开发_.NET
.NET,厦门·思明区,5-8K,1-3年,本科,择东软件,移动互联网未融资,0-20人,.NET C# 数据库,后端开发_.NET
中级.NET,厦门·湖里区·五缘湾,7-11K,1-3年,大专,厦门畅博思,计算机软件未融资,20-99人,.NET ASP C#,后端开发_.NET
.net技术,厦门·翔安区·新店,8-11K,1-3年,大专,招商宝,电子商务未融资,20-99人,.NET,后端开发_.NET
ASP.NET开发,厦门·湖里区·南山路,6-12K,3-5年,大专,众联盟,移动互联网未融资,0-20人,数据库 系统架构 后端开发,后端开发_.NET
软件工程师.net,厦门,5-10K,经验不限,大专,易腾信息,计算机软件,0-20人,C#,后端开发_.NET
.net开发工程师,厦门·湖里区·翔鹭,8-13K,1-3年,大专,英联金融,数据服务天使轮,20-99人,C# SQL ASP.NET WCF 网络协议 Oracle,后端开发_.NET
ASP.NET工程师,厦门·思明区·观音山,5-6K,经验不限,学历不限,KESION,计算机软件未融资,20-99人,.NET,后端开发_.NET
.net开发,厦门·集美区·大学康城,6-12K,1-3年,本科,柴菲克网络,移动互联网未融资,20-99人,.NET C# Javascript,后端开发_.NET
.NET,厦门·湖里区·五缘湾,6-11K,1-3年,本科,厦门闪讯通,计算机软件未融资,0-20人,C#,后端开发_.NET
.NET开发工程师,厦门·思明区·软件园,8-13K,3-5年,学历不限,智慧云创,计算机软件未融资,0-20人,.NET C#,后端开发_.NET
.net开发工程师,厦门·思明区·观音山,4-6K,1-3年,本科,博宠,移动互联网未融资,0-20人,.NET 后端开发,后端开发_.NET
asp.net二次开发,厦门·思明区,4-7K,经验不限,学历不限,三五互联,互联网已上市,500-999人,.NET C# JS,后端开发_.NET
IT开发（.NET）,厦门·湖里区·高崎,10-16k,3-5年,大专,福建中邮,物流/仓储未融资,500-999人,MVC开发 分布式技术 SQL Server,后端开发_.NET
.net工程师,厦门·海沧区·未来海岸,11-17k,3-5年,大专,中科汇智厦门分公司,计算机软件,0-20人,.NET Javascript,后端开发_.NET
.net后台工程师,厦门,8-12K,3-5年,学历不限,逍遥游国际旅行社,旅游不需要融资,20-99人,后端开发 .NET JavaScript,后端开发_.NET
.NET开发工程师,厦门·思明区·观音山,10-12K,3-5年,大专,真的有料,电子商务A轮,20-99人,.NET C# SQL,后端开发_.NET
.Net(C#)开发工程师,厦门·思明区·软件园,10-16k,3-5年,大专,爱原物,互联网未融资,100-499人,EF MVC开发 多线程 微服务架构 消息队列,后端开发_.NET
.NETnet应届生/实习生,厦门·思明区·莲前,2-3K,经验不限,学历不限,伍玖云科技有限公司,计算机软件A轮,20-99人,Web前端 后端开发,后端开发_.NET
.NET/C#工程师,厦门·思明区·软件园,6-12K,1-3年,学历不限,天翔网络,游戏,20-99人,HTML/CSS .NET C#,后端开发_.NET
.NET研发工程师,厦门·思明区·莲花,5-10K,1-3年,大专,厦门领航互联,计算机软件,20-99人,C# ASP.NET 分布式技术 Socket技术 SQL Server,后端开发_.NET
.NET开发工程师,厦门·思明区·莲前,4-5K,经验不限,学历不限,微梦新创,计算机软件未融资,0-20人,后端开发 移动开发 C#,后端开发_.NET
.Net软件工程师,厦门·翔安区·新店,6-9K,1-3年,本科,天来数位,计算机软件,0-20人,.NET C#,后端开发_.NET
.NET开发工程师,厦门·集美区·杏林,8-12K,3-5年,大专,腾昀科技,计算机软件,0-20人,.NET 后端开发 Java,后端开发_.NET
.NET 5程序员,厦门·湖里区·五缘湾,6-11K,1-3年,本科,西皇科技,互联网,0-20人,SQL .NET 多线程 分布式技术 微服务架构,后端开发_.NET
软件工程师（.NET方向）,厦门,11-17k,1-3年,本科,amoytop,医疗健康已上市,1000-9999人,计算机软件 C# 软件工程师 ERP 办公协同,后端开发_.NET
C/C++研发工程师,厦门·翔安区·新店,14-20k,经验不限,本科,ABB（中国）,互联网不需要融资,10000人以上,SQL C# VS .net,后端开发_.NET
asp.net工程师,厦门·思明区·莲坂,8-10K,经验不限,大专,福建天赢贸易有限公司,贸易/进出口已上市,100-499人,MySQL SQLServer 数据仓库,后端开发_.NET
C#.NET后端研发工程师,厦门·湖里区·五缘湾,6-10K,1-3年,大专,凝众网络,移动互联网不需要融资,0-20人,.NET 多线程 MVC开发 分布式技术 微服务架构,后端开发_.NET
.NET开发工程师,厦门·湖里区·枋湖,5-8k,1-3年,大专,云苍穹信息科技,计算机软件未融资,0-20人,C# SQL .NET Visual Studio 计算机软件,后端开发_.NET
.NET开发工程师,厦门·集美区·杏林,5-10k,经验不限,学历不限,四维科图,计算机软件未融资,0-20人,SQL CSS .NET ASP.NET ASP WCF,后端开发_.NET
C#/.NET初级程序员,厦门·思明区·软件园,3-8K,经验不限,大专,易维信息,计算机软件未融资,100-499人,C# JS .NET,后端开发_.NET
软件工程师,厦门,5-8K,经验不限,本科,赛摩积硕科技,仪器仪表/工业自动化未融资,100-499人,C# .net,后端开发_.NET
.NET/.NET Core高级研发工程师,厦门·思明区·软件园,13-16k,3-5年,学历不限,安云信息,计算机服务未融资,20-99人,后端开发 .NET MVC开发 微服务架构 容器技术,后端开发_.NET
C#/.Net 开发工程师,厦门·集美区·灌口,5-10k,1-3年,大专,厦门西蒙尼软件,计算机软件,0-20人,SQL CSS JavaScript .NET 网络协议 Oracle,后端开发_.NET
C#/.Net 开发工程师,厦门·思明区·软件园,4-9K,1-3年,大专,人众软件科技有限公司,计算机软件未融资,20-99人,HTML/CSS HTML5 JS,后端开发_.NET
.net工程师,厦门·湖里区·江头,10-15K,3-5年,学历不限,厦门啄仟泥,电子商务,0-20人,SQL CSS JavaScript .NET 网络协议,后端开发_.NET
高级.NET工程师（微店/小程序）,厦门·思明区·会展中心,15-25K,3-5年,本科,准动网络科技,互联网B轮,500-999人,C# SQL ASP.NET MVC开发 多线程,后端开发_.NET
.net中高级软件工程师,厦门·集美区·灌口,11-19k,3-5年,本科,德捷,计算机软件不需要融资,20-99人,.NET C# .NET Core ASP.NET SQL Server,后端开发_.NET
初级.net后端开发工程师,厦门·思明区·莲花,2-6K,经验不限,大专,单元格(厦门)科...,计算机软件不需要融资,0-20人,C# .NET Core,后端开发_.NET
.NET开发工程师,厦门·湖里区·湖里大道,7-10K,1-3年,本科,电子口岸,计算机软件不需要融资,100-499人,.NET C# SQL ASP Oracle 数据库开发,后端开发_.NET
ASP.NET 软件工程师,厦门·湖里区·东渡,8-13K,1-3年,本科,领航讯通,计算机软件不需要融资,20-99人,.NET C# HTML5,后端开发_.NET
初级.net工程师,厦门·湖里区·江头,3-6K,1-3年,学历不限,康博施,计算机软件不需要融资,0-20人,.NET,后端开发_.NET
.NET 高级开发工程师,厦门,18-37k,3-5年,本科,安踏,贸易/进出口已上市,0-20人,SQL ASP.NET MVC开发 多线程 分布式技术,后端开发_.NET
.net开发,厦门·集美区·集美新城,10-15K,1-3年,大专,阿奇索网络,计算机服务不需要融资,0-20人,SQL HTML C# SQLServer ASP.NET,后端开发_.NET
.NET,厦门·集美区·后溪,8-13K,1-3年,大专,秒洽,电子商务,0-20人,.NET 服务器端开发 后端开发,后端开发_.NET
.NET开发工程师,厦门·同安区·洪塘,9-15k,3-5年,本科,厦门海辰新能源科技,原材料及加工/模具A轮,1000-9999人,SQL ASP.NET ADO.NET .NET MVC C#,后端开发_.NET
高级.net开发工程师,厦门·集美区·杏林,9-15k,5-10年,大专,hyrus,计算机软件不需要融资,100-499人,.NET,后端开发_.NET
.NET开发工程师,厦门·集美区·石鼓路,7-8K,经验不限,学历不限,星烛科技,计算机软件未融资,0-20人,项目管理 系统架构 解决方案,后端开发_.NET
.Net软件开发工程师,厦门·思明区·观音山,6-12K,1-3年,本科,欧宝软件有限公司,计算机软件,100-499人,.NET Web前端,后端开发_.NET
c#/ASP.net开发工程师,厦门·集美区·杏林,10-15K,3-5年,本科,厦门数字火花,计算机软件,0-20人,C# SQL .NET 软件工程师,后端开发_.NET
开发工程师,厦门·思明区·松柏,11-13K,3-5年,本科,厦门燕之屋生物工...,批发/零售不需要融资,1000-9999人,HTML Winform EF MVC开发 消息队列,后端开发_.NET
高级.net开发工程师（技术+管理岗位）,厦门·思明区·观音山,16-27k,5-10年,大专,职行力,互联网B轮,100-499人,.NET 后端开发,后端开发_.NET
.net开发培训讲师,厦门,11-20K,5-10年,大专,欣合睿智科技服务,培训机构未融资,0-20人,C#,后端开发_.NET
.Net高级开发工程师,厦门·集美区·后溪,10-14K,5-10年,本科,大象健康,计算机软件不需要融资,20-99人,C# JavaScript CSS SQL Server Oracle,后端开发_.NET
MES软体开发,厦门,5-7K,3-5年,本科,TPK,其他行业已上市,10000人以上,C# 网络协议 多线程 Socket技术 英语,后端开发_.NET
GIS开发工程师(.net方向),厦门·思明区·松柏,12-24K,1-3年,本科,规划数字技术研究中心,其他行业,100-499人,C# MVC开发 分布式技术 NoSQL MySQL,后端开发_.NET
.net工程师,厦门·海沧区·未来海岸,10-15K,3-5年,本科,奥普拓,互联网A轮,20-99人,.NET JavaScript ASP Web端 软件工程师,后端开发_.NET
.net初级工程师,厦门,5-8K,经验不限,本科,正航软件,计算机软件未融资,100-499人,数据结构 C# SQL ASP.NET Oracle,后端开发_.NET
.net开发工程师,厦门·思明区·前埔,8-12K,1-3年,本科,万仟堂,其他行业未融资,100-499人,C# .NETMVC Java,后端开发_.NET
.net开发工程师,厦门,7-10k,3-5年,大专,美科集团,机械设备/机电/重工未融资,500-999人,MVC开发 Redis .NET MVC SQL Server,后端开发_.NET
